sales_order_id,product_id,product_name,custumer_id,customer_marital_status,customer_gender,territory_id,territory_name,special_offer_id,special_offer_type,special_offer_category,sales_order_ak,order_date,due_date,ship_date,status,delivery_days,subtotal,order_qty,unit_price,unit_price_discount,stratum,row_num
7432836,747,"HL Mountain Frame - Black, 38",277,S,F,3,Central,1,No Discount,No Discount,4e95a0f3-d184-47fa-8d6e-577278564838,2013-12-31,2014-01-12,2014-01-07,entregue no prazo,7,293.18,4,48.59,0.0,3,71
26572200,855,"Men's Bib-Shorts, S",277,S,F,3,Central,1,No Discount,No Discount,8792b9b7-3a62-4f02-b657-bfc301bcbbfa,2014-04-30,2014-05-12,2014-05-07,entregue no prazo,7,84.96,1,34.99,0.0,3,244
46218526,966,"Touring-1000 Blue, 46",277,S,F,3,Central,1,No Discount,No Discount,8e8744f2-3f0b-46d8-a274-336a79166ad4,2013-10-25,2013-11-06,2013-11-01,entregue no prazo,7,81.46,1,21.98,0.0,3,270
42849394,947,HL Touring Handlebars,277,S,F,3,Central,1,No Discount,No Discount,c01ad235-063b-4381-bc17-7d7b39d23211,2013-11-30,2013-12-12,2013-12-07,entregue no prazo,7,41.99,1,41.99,0.0,3,426
3225702,723,"LL Road Frame - Black, 60",277,S,F,3,Central,1,No Discount,No Discount,96fc1626-20fd-4a46-824b-42f15e3e0130,2013-10-30,2013-11-11,2013-11-06,entregue no prazo,7,37.25,1,37.25,0.0,3,559
19700352,816,ML Mountain Front Wheel,277,S,F,3,Central,1,No Discount,No Discount,e92a35e7-e45f-48f6-80c3-d16041b7eb2d,2013-03-30,2013-04-11,2013-04-06,entregue no prazo,7,45.0,3,15.0,0.0,3,941
43554949,951,HL Crankset,277,S,F,3,Central,1,No Discount,No Discount,e26d0427-c3e7-4736-94a7-7c1a4a613f45,2013-06-30,2013-07-12,2013-07-07,entregue no prazo,7,173.39,4,38.1,0.0,3,967
28185977,864,"Classic Vest, S",277,S,F,3,Central,1,No Discount,No Discount,15a99fa1-5966-40b5-bcaf-27e7dee8837d,2013-09-30,2013-10-12,2013-10-07,entregue no prazo,7,417.77,2,2.99,0.0,3,1027
2702253,720,"HL Road Frame - Red, 52",277,S,F,3,Central,1,No Discount,No Discount,bdb0ad2b-9523-43ab-9ddd-ba42810a9a86,2012-12-31,2013-01-12,2013-01-07,entregue no prazo,7,141.62,1,141.62,0.0,3,1103
45155371,960,"Touring-3000 Blue, 62",277,S,F,3,Central,1,No Discount,No Discount,7ff9187b-a0ac-4cb6-82be-14d1bce9d1aa,2013-12-31,2014-01-12,2014-01-07,entregue no prazo,7,162.85,6,5.39,0.0,3,1110
50296815,989,"Mountain-500 Black, 40",277,S,F,3,Central,1,No Discount,No Discount,15a99fa1-5966-40b5-bcaf-27e7dee8837d,2013-09-30,2013-10-12,2013-10-07,entregue no prazo,7,417.77,3,38.1,0.0,3,1156
50298811,989,"Mountain-500 Black, 40",277,S,F,3,Central,1,No Discount,No Discount,8792b9b7-3a62-4f02-b657-bfc301bcbbfa,2014-04-30,2014-05-12,2014-05-07,entregue no prazo,7,84.96,1,24.49,0.0,3,1389
33006531,891,"HL Touring Frame - Blue, 50",277,S,F,3,Central,1,No Discount,No Discount,f5ea5005-fa23-4e4c-ae27-fd86ce75d8d7,2014-04-14,2014-04-26,2014-04-21,entregue no prazo,7,34.98,1,29.99,0.0,3,1419
34066557,897,"LL Touring Frame - Blue, 58",277,S,F,3,Central,1,No Discount,No Discount,c89e207e-7176-4fa4-897d-8b601108604a,2013-01-28,2013-02-09,2013-02-04,entregue no prazo,7,469.79,1,469.79,0.0,3,1695
21954839,829,Touring Rear Wheel,275,S,M,2,Northeast,1,No Discount,No Discount,66c8d5b1-012d-43a8-9070-f6c8132699c5,2011-08-31,2011-09-12,2011-09-07,entregue no prazo,7,5.7,1,5.7,0.0,4,692
23008500,835,"ML Road Frame-W - Yellow, 44",275,S,M,2,Northeast,1,No Discount,No Discount,77100210-86ca-4a12-8482-e32f7b5f3b7d,2014-01-29,2014-02-10,2014-02-05,entregue no prazo,7,225.87,1,38.1,0.0,4,1018
8462369,753,"Road-150 Red, 56",275,S,M,2,Northeast,1,No Discount,No Discount,f9107897-6357-4031-8b74-c7aff0c94912,2013-12-31,2014-01-12,2014-01-07,entregue no prazo,7,78.59,1,29.99,0.0,4,1612
45440479,961,"Touring-3000 Yellow, 44",284,M,M,1,Northwest,1,No Discount,No Discount,f1cf6d19-5e75-4a27-873e-82d776c3566d,2014-05-07,2014-05-19,2014-05-14,entregue no prazo,7,39.98,1,34.99,0.0,5,1
50054767,987,"Mountain-500 Silver, 48",284,M,M,1,Northwest,1,No Discount,No Discount,ed68293c-8c5b-4532-95d7-df9e156240fa,2014-05-01,2014-05-13,2014-05-08,entregue no prazo,7,68.97,1,9.99,0.0,5,3
27577759,860,"Half-Finger Gloves, L",284,M,M,1,Northwest,1,No Discount,No Discount,d889ed00-da7e-42c2-be0f-94e937911b5f,2013-11-24,2013-12-06,2013-12-01,entregue no prazo,7,539.99,1,539.99,0.0,5,7
42060820,942,"ML Mountain Frame-W - Silver, 38",284,M,M,1,Northwest,1,No Discount,No Discount,543be056-3ec7-48ad-81f5-87c0129e4542,2013-07-17,2013-07-29,2013-07-24,entregue no prazo,7,45.58,1,8.99,0.0,5,9
947261,710,"Mountain Bike Socks, L",280,S,F,1,Northwest,1,No Discount,No Discount,119b2d56-625a-410d-b967-3c68113a4a0f,2013-09-30,2013-10-12,2013-10-07,entregue no prazo,7,78.48,1,9.99,0.0,5,12
30432219,876,Hitch Rack - 4-Bike,284,M,M,1,Northwest,1,No Discount,No Discount,275e9b25-7e10-4ded-a8cd-bb46cb11d46f,2014-01-25,2014-02-06,2014-02-01,entregue no prazo,7,11.94,1,7.95,0.0,5,13
39966443,930,HL Mountain Tire,284,M,M,1,Northwest,1,No Discount,No Discount,ccaffd73-26db-420e-b49b-c7c223e00ffc,2013-08-20,2013-09-01,2013-08-27,entregue no prazo,7,119.92,1,54.99,0.0,5,18
51734076,997,"Road-750 Black, 44",280,S,F,1,Northwest,1,No Discount,No Discount,faea7751-4f9b-4871-abcc-0600f5846720,2013-07-18,2013-07-30,2013-07-25,entregue no prazo,7,27.28,1,24.99,0.0,5,20
33807429,895,"LL Touring Frame - Blue, 50",283,S,M,1,Northwest,1,No Discount,No Discount,f5913787-4870-4460-b3e2-ae537f9742c0,2014-01-08,2014-01-20,2014-01-15,entregue no prazo,7,37.21,1,21.98,0.0,5,22
28277361,864,"Classic Vest, S",283,S,M,1,Northwest,1,No Discount,No Discount,a3d438ff-b83a-4c01-8944-96ae5200ab36,2013-11-05,2013-11-17,2013-11-12,entregue no prazo,7,193.98,1,4.99,0.0,5,26
33809201,895,"LL Touring Frame - Blue, 50",284,M,M,1,Northwest,1,No Discount,No Discount,1211acb6-2e92-45a3-b581-b00a7ec74f3e,2013-11-28,2013-12-10,2013-12-05,entregue no prazo,7,147.28,1,24.99,0.0,5,28
48442781,978,"Touring-3000 Blue, 44",283,S,M,1,Northwest,1,No Discount,No Discount,85330d43-50f0-4249-b436-e6025c04d26c,2014-01-26,2014-02-07,2014-02-02,entregue no prazo,7,64.97,1,34.99,0.0,5,35
35569673,905,"ML Mountain Frame-W - Silver, 42",284,M,M,1,Northwest,1,No Discount,No Discount,43348422-af2f-4a4e-81b0-8288c22a58c7,2013-09-15,2013-09-27,2013-09-22,entregue no prazo,7,49.97,1,9.99,0.0,5,37
25531910,849,"Men's Sports Shorts, M",280,S,F,1,Northwest,1,No Discount,No Discount,2dfe1a8a-7f78-437d-86a4-a00cb18d665a,2013-08-11,2013-08-23,2013-08-18,entregue no prazo,7,47.94,1,7.95,0.0,5,39
31140107,880,Hydration Pack - 70 oz.,283,S,M,1,Northwest,1,No Discount,No Discount,f12dddb4-7026-4312-a906-27100c42debc,2014-06-30,2014-07-12,2014-07-07,entregue no prazo,7,12.94,1,7.95,0.0,5,40
13693402,782,"Mountain-200 Black, 38",280,S,F,1,Northwest,1,No Discount,No Discount,e9cc6e50-2dd8-44c9-8efc-5c8646b7a1e5,2013-11-06,2013-11-18,2013-11-13,entregue no prazo,7,180.98,1,21.98,0.0,5,46
46611412,968,"Touring-1000 Blue, 54",280,S,F,1,Northwest,1,No Discount,No Discount,fd869823-abe6-4228-87f1-a2cf851c6111,2013-10-24,2013-11-05,2013-10-31,entregue no prazo,7,122.96,1,4.99,0.0,5,47
5080850,733,"ML Road Frame - Red, 52",284,M,M,1,Northwest,1,No Discount,No Discount,68723a35-885e-403a-aa66-27396491ea0f,2014-01-07,2014-01-19,2014-01-14,entregue no prazo,7,53.99,1,53.99,0.0,5,54
35580543,905,"ML Mountain Frame-W - Silver, 42",284,M,M,1,Northwest,1,No Discount,No Discount,fee95266-9b34-48dd-a6e1-4323edd1a1a4,2013-09-16,2013-09-28,2013-09-23,entregue no prazo,7,78.98,1,69.99,0.0,5,57
